venta_id,fecha,ciudad,sucursal,categoria,producto,proveedor,vendedor,cantidad,precio_unitario,descuento_pct,precio_final,total_venta,metodo_pago,devolucion,costo_unitario,margen_pct
V00023,2024-11-02,Mexicali,Mexicali-Baja,Ferretería,Electricidad,Mayoreo TJ,Vendedor_09,18,4912.84,0,4912.84,88431.12,Efectivo,Talla incorrecta,3303.53,44.7
V00024,2025-05-15,Mexicali,Mexicali-Baja,Alimentos,Carnes Frías,Proveedor Norte SA,Vendedor_03,9,5755.02,5,5467.27,49205.43,Transferencia,Cambio de opinión,3782.99,16.8
V00025,2025-03-13,Ensenada,Ensenada-Centro,Farmacia,Primeros Auxilios,Proveedor Norte SA,Vendedor_04,18,1334.58,25,1000.93,18016.74,Efectivo,No,915.87,42.6
V00026,2024-05-10,Mexicali,Mexicali-Nueva,Electrónica,Cargadores,Logística Frontera,Vendedor_12,14,4680.95,0,4680.95,65533.3,Efectivo,Defecto de fábrica,3158.38,23.4
V00027,2024-06-07,Mexicali,Mexicali-Nueva,Electrónica,Cargadores,Mayoreo TJ,Vendedor_26,20,6251.92,20,5001.54,100030.8,Tarjeta Débito,Duplicado,4191.0,16.0
V00028,2024-02-09,San Quintín,San Quintín-Central,Hogar,Cojines,Importaciones Mex,Vendedor_07,13,2171.11,0,2171.11,28224.43,Transferencia,No,1166.79,47.8
V00029,2024-10-12,Mexicali,Mexicali-Centro,Electrónica,Tabletas,Abastos del Pacífico,Vendedor_22,3,3217.8,10,2896.02,8688.06,Vale Despensa,No,1714.4,16.1
V00030,2024-11-17,Ensenada,Ensenada-Centro,Ferretería,Electricidad,Distribuidora BC,Vendedor_13,12,354.14,20,283.31,3399.72,Vale Despensa,No,176.19,16.8
V00031,2024-11-17,Tecate,Tecate-Centro,Ferretería,Plomería,Logística Frontera,Vendedor_17,11,2945.56,0,2945.56,32401.16,Tarjeta Crédito,Talla incorrecta,1816.6,28.0
V00032,2024-11-04,San Quintín,San Quintín-Central,Ferretería,Tornillería,Proveedor Norte SA,Vendedor_10,6,1575.13,20,1260.1,7560.6,Tarjeta Crédito,No,791.57,46.4
V00033,2025-04-29,Rosarito,Rosarito-Principal,Hogar,Cortinas,Distribuidora BC,Vendedor_10,17,3565.17,5,3386.91,57577.47,Vale Despensa,No cumplió expectativas,2196.01,39.8
V00034,2024-01-26,Tijuana,Tijuana-Otay,Farmacia,Primeros Auxilios,Importaciones Mex,Vendedor_16,5,1835.89,5,1744.1,8720.5,Vale Despensa,Defecto de fábrica,1216.16,17.9
V00035,2024-01-06,Tecate,Tecate-Centro,Farmacia,Anteojos,Abastos del Pacífico,Vendedor_08,5,3980.3,5,3781.28,18906.4,Tarjeta Débito,Talla incorrecta,2591.28,42.8
V00036,2024-05-16,Tecate,Tecate-Centro,Ferretería,Plomería,Surtimax,Vendedor_25,15,7343.89,0,7343.89,110158.35,Transferencia,No,4429.56,43.8
V00037,2024-09-22,Rosarito,Rosarito-Principal,Ferretería,Brochas,Logística Frontera,Vendedor_25,15,7182.8,25,5387.1,80806.5,Vale Despensa,Duplicado,4102.45,24.6
V00038,2024-03-23,Tecate,Tecate-Centro,Farmacia,Primeros Auxilios,Mayoreo TJ,Vendedor_08,11,1914.22,15,1627.09,17897.99,Transferencia,No cumplió expectativas,1193.49,43.3
V00039,2024-07-30,Tijuana,Tijuana-La Mesa,Hogar,Decoración,Abastos del Pacífico,Vendedor_29,2,4363.76,20,3491.01,6982.02,Vale Despensa,No,2995.79,15.8
V00040,2025-03-05,Rosarito,Rosarito-Principal,Hogar,Muebles,Importaciones Mex,Vendedor_16,13,7544.8,10,6790.32,88274.16,Tarjeta Débito,No,3909.97,34.4
V00041,2024-01-28,Tecate,Tecate-Centro,Farmacia,Anteojos,Proveedor Norte SA,Vendedor_03,5,5807.24,25,4355.43,21777.15,Transferencia,No,2810.27,33.5
V00042,2025-01-23,Tijuana,Tijuana-Playas,Hogar,Decoración,Abastos del Pacífico,Vendedor_09,11,1732.7,15,1472.8,16200.8,Efectivo,Cambio de opinión,983.44,45.0
V00043,2024-09-10,Tijuana,Tijuana-Playas,Ropa,Pantalones,Proveedor Norte SA,Vendedor_20,1,6260.8,0,6260.8,6260.8,Tarjeta Débito,Duplicado,3190.73,33.9
V00044,2024-04-27,Tijuana,Tijuana-Zona Río,Ropa,Gorras,Logística Frontera,Vendedor_04,6,5610.75,15,4769.14,28614.84,Vale Despensa,No cumplió expectativas,2560.86,27.5
V00045,2024-11-04,San Quintín,San Quintín-Central,Hogar,Cojines,Distribuidora BC,Vendedor_26,4,654.17,5,621.46,2485.84,Vale Despensa,No,422.37,28.9
V00046,2024-04-18,Tecate,Tecate-Centro,Electrónica,Cargadores,Surtimax,Vendedor_21,16,150.58,20,120.46,1927.36,Transferencia,No,94.39,32.4
V00047,2024-09-08,San Quintín,San Quintín-Central,Ferretería,Brochas,Logística Frontera,Vendedor_29,11,3745.75,10,3371.18,37082.98,Transferencia,Talla incorrecta,1913.95,33.6
V00048,2025-05-14,Rosarito,Rosarito-Principal,Alimentos,Snacks,Surtimax,Vendedor_26,6,3979.74,15,3382.78,20296.68,Tarjeta Crédito,Duplicado,2129.5,50.2
V00049,2024-09-04,San Quintín,San Quintín-Central,Ferretería,Herramientas,Comercial Baja,Vendedor_18,3,4157.19,5,3949.33,11847.99,Tarjeta Débito,No,2588.48,40.8
V00050,2024-11-09,Tecate,Tecate-Centro,Electrónica,Laptops,Surtimax,Vendedor_16,8,2389.17,20,1911.34,15290.72,Vale Despensa,No,1392.24,32.0
V00051,2024-05-03,San Quintín,San Quintín-Central,Alimentos,Condimentos,Surtimax,Vendedor_04,8,2203.79,10,1983.41,15867.28,Vale Despensa,Duplicado,1515.59,42.6
V00052,2024-07-17,Mexicali,Mexicali-Centro,Farmacia,Termómetros,Importaciones Mex,Vendedor_12,4,2248.17,10,2023.35,8093.4,Tarjeta Débito,Cambio de opinión,1181.56,43.3
V00053,2024-04-15,Mexicali,Mexicali-Baja,Electrónica,Televisores,Logística Frontera,Vendedor_16,16,4449.2,0,4449.2,71187.2,Transferencia,Defecto de fábrica,2492.07,22.4
V00054,2024-03-16,Tijuana,Tijuana-Playas,Hogar,Lámparas,Proveedor Norte SA,Vendedor_05,16,6585.82,20,5268.66,84298.56,Tarjeta Débito,No,4299.13,53.0
V00055,2025-01-24,Tijuana,Tijuana-Otay,Electrónica,Cables,Comercial Baja,Vendedor_10,17,4870.23,5,4626.72,78654.24,Vale Despensa,No,3397.02,27.2
V00056,2024-09-27,Rosarito,Rosarito-Principal,Ferretería,Pinturas,Mayoreo TJ,Vendedor_08,7,7583.34,5,7204.17,50429.19,Tarjeta Débito,Talla incorrecta,4458.99,21.3
V00057,2024-10-16,Tecate,Tecate-Centro,Farmacia,Termómetros,Distribuidora BC,Vendedor_22,10,2365.51,5,2247.23,22472.3,Tarjeta Débito,No,1610.86,46.5
V00058,2024-05-25,San Quintín,San Quintín-Central,Hogar,Lámparas,Proveedor Norte SA,Vendedor_06,9,4379.27,0,4379.27,39413.43,Tarjeta Crédito,Talla incorrecta,2622.14,48.0
V00059,2025-05-27,Ensenada,Ensenada-Maneadero,Electrónica,Cámaras,Comercial Baja,Vendedor_15,9,5524.99,20,4419.99,39779.91,Efectivo,No,3312.28,50.6
V00060,2024-01-22,San Quintín,San Quintín-Central,Ferretería,Electricidad,Proveedor Norte SA,Vendedor_25,19,255.63,5,242.85,4614.15,Tarjeta Débito,Cambio de opinión,145.1,41.1
V00061,2025-04-26,Ensenada,Ensenada-Centro,Ferretería,Selladores,Abastos del Pacífico,Vendedor_11,3,5096.54,25,3822.4,11467.2,Tarjeta Crédito,No,3147.28,49.3
V00062,2024-02-07,Ensenada,Ensenada-Maneadero,Farmacia,Termómetros,Distribuidora BC,Vendedor_11,18,2341.33,20,1873.06,33715.08,Tarjeta Crédito,No,1242.82,53.8
V00063,2025-01-05,Tecate,Tecate-Centro,Farmacia,Termómetros,Comercial Baja,Vendedor_21,17,3335.32,5,3168.55,53865.35,Transferencia,No,2134.6,23.1
V00064,2024-01-30,Rosarito,Rosarito-Principal,Alimentos,Condimentos,Importaciones Mex,Vendedor_23,4,7052.73,25,5289.55,21158.2,Tarjeta Débito,No,3721.64,15.5
V00065,2025-05-25,Tecate,Tecate-Centro,Ropa,Pantalones,Logística Frontera,Vendedor_14,5,3718.51,0,3718.51,18592.55,Transferencia,Cambio de opinión,2584.59,24.7
V00066,2024-10-09,Rosarito,Rosarito-Principal,Hogar,Cojines,Surtimax,Vendedor_30,3,7378.85,0,7378.85,22136.55,Vale Despensa,No,3813.34,15.1
V00067,2025-05-10,San Quintín,San Quintín-Central,Ferretería,Brochas,Surtimax,Vendedor_18,18,6928.82,25,5196.61,93538.98,Vale Despensa,No,3771.37,52.3
V00068,2024-11-21,Mexicali,Mexicali-Nueva,Ropa,Calcetines,Abastos del Pacífico,Vendedor_13,2,1906.82,20,1525.46,3050.92,Tarjeta Débito,No,1094.19,16.5
V00069,2024-05-27,Rosarito,Rosarito-Principal,Electrónica,Cámaras,Mayoreo TJ,Vendedor_03,1,842.71,25,632.03,632.03,Transferencia,No,543.87,25.6
V00070,2025-05-14,Rosarito,Rosarito-Principal,Farmacia,Vitaminas,Proveedor Norte SA,Vendedor_20,11,6821.53,20,5457.22,60029.42,Efectivo,No,3470.06,42.4
V00071,2025-03-30,Ensenada,Ensenada-Centro,Farmacia,Vitaminas,Logística Frontera,Vendedor_29,4,3500.07,0,3500.07,14000.28,Efectivo,No cumplió expectativas,1615.27,46.8
V00072,2024-07-03,Ensenada,Ensenada-Maneadero,Alimentos,Cereales,Mayoreo TJ,Vendedor_03,19,1207.28,20,965.82,18350.58,Vale Despensa,No cumplió expectativas,806.11,39.8
V00073,2024-09-18,Mexicali,Mexicali-Baja,Ferretería,Tornillería,Comercial Baja,Vendedor_29,15,1895.9,10,1706.31,25594.65,Tarjeta Crédito,Defecto de fábrica,1174.33,21.3
V00074,2025-04-12,Tecate,Tecate-Centro,Ferretería,Electricidad,Importaciones Mex,Vendedor_13,9,5129.56,20,4103.65,36932.85,Transferencia,Cambio de opinión,2445.07,30.3
V00075,2024-01-09,Ensenada,Ensenada-Maneadero,Farmacia,Primeros Auxilios,Proveedor Norte SA,Vendedor_30,9,224.42,20,179.54,1615.86,Vale Despensa,No,142.8,48.3
V00076,2024-09-13,Ensenada,Ensenada-Centro,Ferretería,Adhesivos,Distribuidora BC,Vendedor_29,20,1791.09,5,1701.54,34030.8,Efectivo,No cumplió expectativas,944.32,32.6
V00077,2025-03-01,Rosarito,Rosarito-Principal,Farmacia,Higiene,Importaciones Mex,Vendedor_05,11,766.56,10,689.9,7588.9,Vale Despensa,No cumplió expectativas,512.92,29.6
V00078,2024-12-12,Rosarito,Rosarito-Principal,Ropa,Chamarras,Comercial Baja,Vendedor_03,10,7316.69,25,5487.52,54875.2,Tarjeta Débito,Talla incorrecta,4671.98,24.0
V00079,2024-09-27,San Quintín,San Quintín-Central,Ferretería,Adhesivos,Distribuidora BC,Vendedor_15,1,767.91,20,614.33,614.33,Tarjeta Crédito,No,474.73,41.9
V00080,2024-01-26,Rosarito,Rosarito-Principal,Farmacia,Bebés,Surtimax,Vendedor_30,16,911.35,5,865.78,13852.48,Vale Despensa,No,460.54,17.5
V00081,2024-11-07,Tecate,Tecate-Centro,Farmacia,Anteojos,Distribuidora BC,Vendedor_04,2,977.57,0,977.57,1955.14,Tarjeta Débito,No,656.75,20.4
V00082,2024-04-11,Tecate,Tecate-Centro,Farmacia,Anteojos,Abastos del Pacífico,Vendedor_09,14,4719.36,0,4719.36,66071.04,Efectivo,No,2938.13,23.7
V00083,2025-01-02,Tecate,Tecate-Centro,Alimentos,Bebidas,Abastos del Pacífico,Vendedor_09,18,7848.38,15,6671.12,120080.16,Tarjeta Débito,Defecto de fábrica,5431.48,53.0
V00084,2024-12-07,Tecate,Tecate-Centro,Farmacia,Cuidado Personal,Mayoreo TJ,Vendedor_26,2,5151.55,0,5151.55,10303.1,Vale Despensa,Duplicado,2582.48,48.2
V00085,2024-05-31,Rosarito,Rosarito-Principal,Ferretería,Plomería,Proveedor Norte SA,Vendedor_09,11,6513.77,5,6188.08,68068.88,Tarjeta Débito,No,4539.33,36.6
V00086,2024-11-27,Mexicali,Mexicali-Centro,Farmacia,Medicamentos,Mayoreo TJ,Vendedor_09,8,1097.84,15,933.16,7465.28,Efectivo,Defecto de fábrica,528.82,31.8
V00087,2025-05-30,Tijuana,Tijuana-Garita,Hogar,Cortinas,Proveedor Norte SA,Vendedor_24,15,6235.24,0,6235.24,93528.6,Vale Despensa,Duplicado,3276.04,40.7
V00088,2025-03-30,Tijuana,Tijuana-Garita,Hogar,Almohadas,Distribuidora BC,Vendedor_11,16,3438.88,0,3438.88,55022.08,Vale Despensa,Talla incorrecta,1675.02,20.0
V00089,2024-04-27,Rosarito,Rosarito-Principal,Hogar,Utensilios,Importaciones Mex,Vendedor_14,4,3657.04,20,2925.63,11702.52,Transferencia,No,2457.61,31.6
V00090,2025-01-18,Tecate,Tecate-Centro,Hogar,Lámparas,Comercial Baja,Vendedor_03,9,2534.76,15,2154.55,19390.95,Efectivo,No cumplió expectativas,1667.73,18.7
V00091,2025-02-24,Tijuana,Tijuana-Playas,Ropa,Camisas,Abastos del Pacífico,Vendedor_28,4,4712.4,15,4005.54,16022.16,Efectivo,No,3261.45,39.0
V00092,2024-04-20,Ensenada,Ensenada-Centro,Ferretería,Plomería,Surtimax,Vendedor_04,8,1280.1,25,960.07,7680.56,Tarjeta Crédito,No,759.77,47.3
V00093,2024-12-13,Rosarito,Rosarito-Principal,Ferretería,Electricidad,Proveedor Norte SA,Vendedor_06,10,280.18,10,252.16,2521.6,Tarjeta Débito,No,165.75,31.0
V00094,2025-03-05,Mexicali,Mexicali-Nueva,Farmacia,Medicamentos,Surtimax,Vendedor_06,13,779.47,5,740.5,9626.5,Tarjeta Crédito,No,411.49,28.0
V00095,2024-10-05,Rosarito,Rosarito-Principal,Electrónica,Celulares,Abastos del Pacífico,Vendedor_16,3,1301.41,0,1301.41,3904.23,Vale Despensa,No,729.45,25.9
V00096,2024-11-11,Rosarito,Rosarito-Principal,Alimentos,Cereales,Importaciones Mex,Vendedor_13,17,931.57,25,698.68,11877.56,Vale Despensa,Defecto de fábrica,431.96,23.2
V00097,2025-03-16,Mexicali,Mexicali-Centro,Alimentos,Panadería,Mayoreo TJ,Vendedor_13,16,2658.57,0,2658.57,42537.12,Vale Despensa,No cumplió expectativas,1664.05,35.0
V00098,2024-01-20,San Quintín,San Quintín-Central,Electrónica,Cables,Distribuidora BC,Vendedor_28,14,6901.03,0,6901.03,96614.42,Tarjeta Crédito,No,4098.8,37.9
V00099,2025-04-16,San Quintín,San Quintín-Central,Alimentos,Bebidas,Distribuidora BC,Vendedor_14,6,3270.01,15,2779.51,16677.06,Efectivo,No,1670.42,38.6
V00100,2024-06-21,Rosarito,Rosarito-Principal,Hogar,Utensilios,Distribuidora BC,Vendedor_17,11,5979.15,5,5680.19,62482.09,Vale Despensa,Talla incorrecta,2980.46,46.0
V00101,2024-06-05,Ensenada,Ensenada-Centro,Ropa,Pantalones,Mayoreo TJ,Vendedor_25,6,1214.23,5,1153.52,6921.12,Transferencia,Talla incorrecta,687.24,37.5
V00102,2025-03-26,Rosarito,Rosarito-Principal,Farmacia,Bebés,Comercial Baja,Vendedor_15,5,6920.76,15,5882.65,29413.25,Tarjeta Crédito,Talla incorrecta,4492.14,38.7
V00103,2024-10-20,Ensenada,Ensenada-Centro,Alimentos,Condimentos,Distribuidora BC,Vendedor_20,12,3642.72,0,3642.72,43712.64,Vale Despensa,Talla incorrecta,2101.0,33.5
V00104,2024-06-03,Rosarito,Rosarito-Principal,Hogar,Cojines,Comercial Baja,Vendedor_04,17,2606.14,25,1954.61,33228.37,Tarjeta Crédito,Defecto de fábrica,1812.82,18.4
V00105,2024-06-11,San Quintín,San Quintín-Central,Electrónica,Tabletas,Surtimax,Vendedor_30,17,5675.59,25,4256.69,72363.73,Tarjeta Crédito,No,3103.72,46.0
V00106,2025-01-30,San Quintín,San Quintín-Central,Farmacia,Bebés,Logística Frontera,Vendedor_24,18,574.0,0,574.0,10332.0,Vale Despensa,Cambio de opinión,383.62,28.3
V00107,2024-03-27,Rosarito,Rosarito-Principal,Alimentos,Panadería,Abastos del Pacífico,Vendedor_21,5,7743.19,20,6194.55,30972.75,Tarjeta Crédito,Cambio de opinión,5058.6,41.8
V00108,2024-11-12,San Quintín,San Quintín-Central,Farmacia,Anteojos,Importaciones Mex,Vendedor_11,12,4092.48,0,4092.48,49109.76,Transferencia,No cumplió expectativas,2038.06,55.0
V00109,2024-05-14,Mexicali,Mexicali-Centro,Alimentos,Bebidas,Abastos del Pacífico,Vendedor_05,11,4086.13,0,4086.13,44947.43,Tarjeta Débito,No,2023.5,42.7
V00110,2025-03-30,Rosarito,Rosarito-Principal,Farmacia,Termómetros,Logística Frontera,Vendedor_25,8,397.35,15,337.75,2702.0,Transferencia,No,202.05,24.6
V00111,2025-05-29,Tecate,Tecate-Centro,Alimentos,Condimentos,Abastos del Pacífico,Vendedor_06,13,3720.36,10,3348.32,43528.16,Tarjeta Débito,No,2419.41,20.5
V00112,2024-05-07,Ensenada,Ensenada-Centro,Farmacia,Termómetros,Distribuidora BC,Vendedor_25,17,6999.23,0,6999.23,118986.91,Tarjeta Débito,Cambio de opinión,3626.99,51.2
V00113,2025-02-28,Mexicali,Mexicali-Baja,Electrónica,Tabletas,Abastos del Pacífico,Vendedor_17,1,6542.79,15,5561.37,5561.37,Tarjeta Crédito,Defecto de fábrica,3329.92,54.8
V00114,2024-05-20,Ensenada,Ensenada-Centro,Electrónica,Cargadores,Logística Frontera,Vendedor_30,5,7450.07,15,6332.56,31662.8,Transferencia,Defecto de fábrica,4648.98,20.6
V00115,2024-08-08,San Quintín,San Quintín-Central,Hogar,Muebles,Abastos del Pacífico,Vendedor_04,9,7251.57,0,7251.57,65264.13,Tarjeta Crédito,No cumplió expectativas,3694.02,19.9
V00116,2024-01-17,Mexicali,Mexicali-Baja,Farmacia,Termómetros,Importaciones Mex,Vendedor_23,20,549.32,25,411.99,8239.8,Tarjeta Débito,No,287.19,15.1
V00117,2025-01-04,Ensenada,Ensenada-Centro,Ferretería,Selladores,Proveedor Norte SA,Vendedor_13,17,1539.15,0,1539.15,26165.55,Transferencia,Talla incorrecta,709.37,30.5
V00118,2024-09-03,Ensenada,Ensenada-Maneadero,Farmacia,Medicamentos,Surtimax,Vendedor_05,12,2888.9,0,2888.9,34666.8,Efectivo,Talla incorrecta,1554.44,28.5
V00119,2024-05-18,San Quintín,San Quintín-Central,Farmacia,Termómetros,Comercial Baja,Vendedor_02,6,7847.51,25,5885.63,35313.78,Tarjeta Crédito,Talla incorrecta,3926.88,46.6
V00120,2024-02-07,Tijuana,Tijuana-Playas,Alimentos,Cereales,Logística Frontera,Vendedor_12,9,7913.53,25,5935.15,53416.35,Efectivo,Duplicado,5273.97,28.3
V00121,2024-07-10,Tijuana,Tijuana-Playas,Hogar,Almohadas,Comercial Baja,Vendedor_12,11,5959.3,20,4767.44,52441.84,Vale Despensa,No,3079.05,18.3
V00122,2024-03-22,Tecate,Tecate-Centro,Hogar,Cobijas,Logística Frontera,Vendedor_10,4,4386.52,15,3728.54,14914.16,Transferencia,No,2634.79,32.0
V00123,2025-03-21,San Quintín,San Quintín-Central,Alimentos,Condimentos,Proveedor Norte SA,Vendedor_03,20,386.72,15,328.71,6574.2,Transferencia,Cambio de opinión,209.15,47.0
V00124,2024-05-09,San Quintín,San Quintín-Central,Electrónica,Celulares,Importaciones Mex,Vendedor_25,2,6796.92,25,5097.69,10195.38,Tarjeta Crédito,Talla incorrecta,3673.99,53.0
V00125,2024-03-19,Tijuana,Tijuana-Zona Río,Ropa,Gorras,Mayoreo TJ,Vendedor_17,15,7593.15,15,6454.18,96812.7,Tarjeta Crédito,No,4172.5,41.0
V00126,2024-04-30,Mexicali,Mexicali-Centro,Electrónica,Celulares,Logística Frontera,Vendedor_23,18,4017.4,20,3213.92,57850.56,Transferencia,Cambio de opinión,2023.33,39.5
V00127,2024-06-25,San Quintín,San Quintín-Central,Ropa,Pantalones,Distribuidora BC,Vendedor_26,15,1129.04,0,1129.04,16935.6,Tarjeta Crédito,No,696.57,43.4
V00128,2024-08-17,Rosarito,Rosarito-Principal,Alimentos,Lácteos,Importaciones Mex,Vendedor_26,12,5708.88,0,5708.88,68506.56,Tarjeta Débito,Talla incorrecta,2906.87,34.8
V00129,2024-11-12,Ensenada,Ensenada-Maneadero,Hogar,Cobijas,Comercial Baja,Vendedor_17,3,4914.99,0,4914.99,14744.97,Transferencia,No,3156.85,47.9
V00130,2024-07-05,Tijuana,Tijuana-Otay,Alimentos,Bebidas,Abastos del Pacífico,Vendedor_17,5,3627.3,15,3083.2,15416.0,Efectivo,No cumplió expectativas,2386.21,35.7
V00131,2024-10-17,Ensenada,Ensenada-Centro,Ropa,Ropa Interior,Logística Frontera,Vendedor_07,12,7481.17,5,7107.11,85285.32,Vale Despensa,Talla incorrecta,3879.83,40.0
V00132,2024-12-11,Rosarito,Rosarito-Principal,Ferretería,Tornillería,Proveedor Norte SA,Vendedor_27,6,4754.88,0,4754.88,28529.28,Efectivo,No,2236.25,52.9
V00133,2024-02-01,Rosarito,Rosarito-Principal,Farmacia,Cuidado Personal,Logística Frontera,Vendedor_21,20,6147.32,20,4917.86,98357.2,Tarjeta Crédito,No,3508.5,47.2
V00134,2025-03-26,San Quintín,San Quintín-Central,Alimentos,Condimentos,Comercial Baja,Vendedor_15,6,630.14,0,630.14,3780.84,Tarjeta Débito,No,337.16,20.7
V00135,2024-04-18,San Quintín,San Quintín-Central,Farmacia,Bebés,Importaciones Mex,Vendedor_15,12,7804.22,0,7804.22,93650.64,Efectivo,No,4033.75,24.9
V00136,2024-06-12,Tijuana,Tijuana-Garita,Alimentos,Cereales,Surtimax,Vendedor_07,8,6920.1,20,5536.08,44288.64,Tarjeta Débito,No,3976.06,35.6
V00137,2025-04-13,Tecate,Tecate-Centro,Hogar,Muebles,Importaciones Mex,Vendedor_19,17,765.89,20,612.71,10416.07,Tarjeta Crédito,Duplicado,353.97,26.3
V00138,2024-09-27,Rosarito,Rosarito-Principal,Alimentos,Snacks,Abastos del Pacífico,Vendedor_12,5,6785.02,20,5428.02,27140.1,Efectivo,No,3732.75,37.8
V00139,2024-10-13,Mexicali,Mexicali-Baja,Ferretería,Electricidad,Distribuidora BC,Vendedor_05,18,634.58,25,475.94,8566.92,Efectivo,No,348.05,46.8
V00140,2024-02-11,Ensenada,Ensenada-Maneadero,Ropa,Zapatos,Proveedor Norte SA,Vendedor_05,17,4839.58,20,3871.66,65818.22,Tarjeta Crédito,Defecto de fábrica,3150.53,35.8
V00141,2025-02-06,Mexicali,Mexicali-Nueva,Ferretería,Tornillería,Logística Frontera,Vendedor_19,6,2657.33,15,2258.73,13552.38,Tarjeta Crédito,No,1532.82,35.4
V00142,2024-11-11,Tecate,Tecate-Centro,Hogar,Muebles,Comercial Baja,Vendedor_09,14,2978.44,0,2978.44,41698.16,Vale Despensa,Defecto de fábrica,1770.41,43.9
V00143,2024-04-22,Rosarito,Rosarito-Principal,Ropa,Calcetines,Proveedor Norte SA,Vendedor_15,2,1224.82,5,1163.58,2327.16,Tarjeta Crédito,Duplicado,679.4,31.5
