inv_id,ciudad,categoria,producto,proveedor,stock_actual,stock_minimo,stock_maximo,estado_inventario,costo_unitario,precio_venta,dias_sin_movimiento,ultima_entrada,prox_reabasto
I0034,Tecate,Electrónica,Cargadores,Abastos del Pacífico,129,74,444,Óptimo,2770.65,1150.18,70,2025-05-02,2025-08-01
I0035,Rosarito,Electrónica,Cargadores,Comercial Baja,373,42,252,Sobrestock,4640.65,4725.52,69,2025-04-14,2025-07-28
I0036,San Quintín,Electrónica,Cargadores,Importaciones Mex,421,31,186,Sobrestock,288.36,3546.82,88,2025-03-20,2025-07-30
I0037,Tijuana,Electrónica,Cables,Abastos del Pacífico,424,55,330,Sobrestock,4138.29,807.36,40,2025-05-25,2025-07-02
I0038,Mexicali,Electrónica,Cables,Importaciones Mex,51,67,402,Bajo,4183.29,353.9,79,2025-03-02,2025-06-20
I0039,Ensenada,Electrónica,Cables,Logística Frontera,84,21,126,Óptimo,2027.12,230.85,83,2025-03-30,2025-08-01
I0040,Tecate,Electrónica,Cables,Importaciones Mex,88,59,354,En Tránsito,2101.2,734.1,80,2025-03-15,2025-06-10
I0041,Rosarito,Electrónica,Cables,Mayoreo TJ,370,75,450,Óptimo,4290.56,5629.54,89,2025-02-26,2025-07-21
I0042,San Quintín,Electrónica,Cables,Proveedor Norte SA,103,66,396,En Tránsito,907.91,2537.42,76,2025-05-26,2025-06-19
I0043,Tijuana,Electrónica,Cámaras,Proveedor Norte SA,426,76,456,Sobrestock,1177.63,2811.11,80,2025-05-28,2025-06-20
I0044,Mexicali,Electrónica,Cámaras,Surtimax,86,67,402,Óptimo,3222.46,4237.96,89,2025-05-15,2025-07-26
I0045,Ensenada,Electrónica,Cámaras,Mayoreo TJ,236,31,186,Sobrestock,1744.4,4278.09,54,2025-03-05,2025-07-23
I0046,Tecate,Electrónica,Cámaras,Mayoreo TJ,271,26,156,Sobrestock,1135.99,2643.57,28,2025-02-23,2025-07-11
I0047,Rosarito,Electrónica,Cámaras,Proveedor Norte SA,70,47,282,Óptimo,370.33,764.01,81,2025-02-17,2025-06-23
I0048,San Quintín,Electrónica,Cámaras,Importaciones Mex,469,77,462,Sobrestock,4589.17,3872.48,67,2025-04-12,2025-06-07
I0049,Tijuana,Ropa,Camisas,Distribuidora BC,478,72,432,Sobrestock,3159.39,1381.68,17,2025-03-09,2025-06-25
I0050,Mexicali,Ropa,Camisas,Abastos del Pacífico,382,69,414,Sobrestock,1770.34,1073.47,12,2025-02-11,2025-06-09
I0051,Ensenada,Ropa,Camisas,Logística Frontera,16,48,288,Bajo,1682.94,7268.82,6,2025-05-07,2025-07-14
I0052,Tecate,Ropa,Camisas,Proveedor Norte SA,360,23,138,Sobrestock,2957.75,4638.4,8,2025-04-22,2025-07-29
I0053,Rosarito,Ropa,Camisas,Proveedor Norte SA,59,40,240,En Tránsito,2567.92,3009.53,15,2025-02-14,2025-06-08
I0054,San Quintín,Ropa,Camisas,Surtimax,428,76,456,Sobrestock,145.55,5619.08,13,2025-02-25,2025-06-20
I0055,Tijuana,Ropa,Pantalones,Surtimax,371,74,444,Sobrestock,326.2,661.94,21,2025-05-30,2025-08-03
I0056,Mexicali,Ropa,Pantalones,Proveedor Norte SA,233,69,414,Óptimo,4943.1,1502.74,59,2025-05-17,2025-06-05
I0057,Ensenada,Ropa,Pantalones,Comercial Baja,99,56,336,Óptimo,1254.03,125.73,78,2025-04-20,2025-06-12
I0058,Tecate,Ropa,Pantalones,Comercial Baja,145,58,348,Óptimo,4558.47,7779.11,76,2025-02-15,2025-06-04
I0059,Rosarito,Ropa,Pantalones,Logística Frontera,141,43,258,Óptimo,637.66,3088.62,68,2025-04-09,2025-06-15
I0060,San Quintín,Ropa,Pantalones,Surtimax,403,51,306,Sobrestock,3766.7,569.86,72,2025-03-20,2025-06-29
I0061,Tijuana,Ropa,Vestidos,Importaciones Mex,406,38,228,Sobrestock,1716.38,4793.41,20,2025-04-04,2025-07-12
I0062,Mexicali,Ropa,Vestidos,Abastos del Pacífico,448,34,204,Sobrestock,3732.87,2451.34,60,2025-04-23,2025-06-07
I0063,Ensenada,Ropa,Vestidos,Importaciones Mex,181,31,186,Sobrestock,3423.48,7533.96,84,2025-05-07,2025-07-09
I0064,Tecate,Ropa,Vestidos,Proveedor Norte SA,243,41,246,Sobrestock,4031.25,6084.09,73,2025-05-23,2025-06-08
I0065,Rosarito,Ropa,Vestidos,Importaciones Mex,457,50,300,Sobrestock,1799.57,3408.41,82,2025-03-24,2025-07-04
I0066,San Quintín,Ropa,Vestidos,Surtimax,431,22,132,Sobrestock,2651.44,2684.85,70,2025-02-13,2025-06-12
I0067,Tijuana,Ropa,Zapatos,Surtimax,279,43,258,Sobrestock,2267.53,733.82,2,2025-04-01,2025-07-27
I0068,Mexicali,Ropa,Zapatos,Abastos del Pacífico,184,50,300,Óptimo,4549.69,7892.21,59,2025-02-13,2025-06-07
I0069,Ensenada,Ropa,Zapatos,Abastos del Pacífico,435,71,426,Sobrestock,543.96,327.76,22,2025-05-14,2025-06-04
I0070,Tecate,Ropa,Zapatos,Comercial Baja,127,21,126,Sobrestock,1057.57,5650.53,44,2025-03-05,2025-07-19
I0071,Rosarito,Ropa,Zapatos,Distribuidora BC,270,29,174,Sobrestock,1629.74,6646.72,59,2025-04-13,2025-06-02
I0072,San Quintín,Ropa,Zapatos,Comercial Baja,4,66,396,Bajo,4657.36,5235.48,71,2025-03-25,2025-06-14
I0073,Tijuana,Ropa,Chamarras,Abastos del Pacífico,470,76,456,Sobrestock,3036.54,553.05,66,2025-03-16,2025-07-01
I0074,Mexicali,Ropa,Chamarras,Surtimax,133,65,390,Óptimo,1593.94,5986.91,38,2025-04-12,2025-06-12
I0075,Ensenada,Ropa,Chamarras,Importaciones Mex,132,39,234,Óptimo,3820.69,2141.53,52,2025-05-10,2025-06-21
I0076,Tecate,Ropa,Chamarras,Abastos del Pacífico,204,45,270,Óptimo,3863.87,4799.14,44,2025-02-16,2025-06-13
I0077,Rosarito,Ropa,Chamarras,Importaciones Mex,365,72,432,Sobrestock,2685.28,7391.76,24,2025-03-11,2025-07-08
I0078,San Quintín,Ropa,Chamarras,Surtimax,486,25,150,Sobrestock,4582.48,7220.06,73,2025-05-09,2025-06-20
I0079,Tijuana,Ropa,Ropa Interior,Comercial Baja,236,49,294,Óptimo,472.39,2993.91,79,2025-04-22,2025-07-22
I0080,Mexicali,Ropa,Ropa Interior,Abastos del Pacífico,60,78,468,Bajo,145.94,702.29,13,2025-02-18,2025-07-01
I0081,Ensenada,Ropa,Ropa Interior,Comercial Baja,420,78,468,Sobrestock,2522.74,595.94,69,2025-04-05,2025-07-29
I0082,Tecate,Ropa,Ropa Interior,Mayoreo TJ,340,65,390,Sobrestock,2870.97,1977.25,73,2025-02-11,2025-07-27
I0083,Rosarito,Ropa,Ropa Interior,Mayoreo TJ,487,50,300,Sobrestock,4101.3,4460.5,6,2025-05-19,2025-06-06
I0084,San Quintín,Ropa,Ropa Interior,Proveedor Norte SA,310,61,366,Sobrestock,4285.26,7557.01,81,2025-03-18,2025-06-03
I0085,Tijuana,Ropa,Calcetines,Abastos del Pacífico,299,69,414,Óptimo,3532.8,5353.22,0,2025-03-18,2025-05-31
I0086,Mexicali,Ropa,Calcetines,Proveedor Norte SA,213,53,318,En Tránsito,4683.0,7191.31,46,2025-05-09,2025-07-17
I0087,Ensenada,Ropa,Calcetines,Comercial Baja,375,30,180,Sobrestock,1012.12,5127.37,33,2025-02-07,2025-07-26
I0088,Tecate,Ropa,Calcetines,Logística Frontera,337,20,120,Sobrestock,4421.27,4677.14,22,2025-03-10,2025-06-15
I0089,Rosarito,Ropa,Calcetines,Comercial Baja,210,63,378,Óptimo,2255.51,1145.27,63,2025-04-17,2025-07-26
I0090,San Quintín,Ropa,Calcetines,Proveedor Norte SA,389,34,204,Sobrestock,2854.03,178.23,28,2025-05-18,2025-06-24
I0091,Tijuana,Ropa,Gorras,Distribuidora BC,389,23,138,Sobrestock,3385.82,1331.96,15,2025-05-23,2025-07-24
I0092,Mexicali,Ropa,Gorras,Logística Frontera,144,48,288,Óptimo,2655.32,5942.38,40,2025-02-09,2025-06-21
I0093,Ensenada,Ropa,Gorras,Comercial Baja,104,25,150,Óptimo,4852.09,6049.46,37,2025-05-05,2025-07-04
I0094,Tecate,Ropa,Gorras,Distribuidora BC,429,51,306,Sobrestock,4279.62,7308.55,45,2025-02-10,2025-06-27
I0095,Rosarito,Ropa,Gorras,Distribuidora BC,420,50,300,Sobrestock,1637.65,5909.62,3,2025-02-05,2025-07-31
I0096,San Quintín,Ropa,Gorras,Importaciones Mex,131,55,330,En Tránsito,4458.73,1242.77,68,2025-02-22,2025-06-07
I0097,Tijuana,Alimentos,Snacks,Mayoreo TJ,41,29,174,Óptimo,3595.86,6322.55,13,2025-03-16,2025-06-18
I0098,Mexicali,Alimentos,Snacks,Proveedor Norte SA,207,79,474,Óptimo,2434.31,7386.03,54,2025-05-02,2025-07-30
I0099,Ensenada,Alimentos,Snacks,Comercial Baja,293,43,258,Sobrestock,1585.79,3731.85,64,2025-03-31,2025-07-27
I0100,Tecate,Alimentos,Snacks,Proveedor Norte SA,72,43,258,Óptimo,2198.04,4786.64,31,2025-03-30,2025-07-13
I0101,Rosarito,Alimentos,Snacks,Comercial Baja,480,70,420,Sobrestock,4019.47,5168.18,74,2025-03-09,2025-06-18
I0102,San Quintín,Alimentos,Snacks,Importaciones Mex,436,76,456,Sobrestock,623.64,2812.36,14,2025-02-05,2025-06-10
I0103,Tijuana,Alimentos,Bebidas,Importaciones Mex,412,51,306,Sobrestock,419.3,1871.2,58,2025-02-13,2025-06-07
I0104,Mexicali,Alimentos,Bebidas,Abastos del Pacífico,302,64,384,Óptimo,2143.7,936.98,52,2025-03-22,2025-08-03
I0105,Ensenada,Alimentos,Bebidas,Distribuidora BC,500,52,312,Sobrestock,2643.34,4109.99,30,2025-05-17,2025-07-29
I0106,Tecate,Alimentos,Bebidas,Proveedor Norte SA,427,44,264,Sobrestock,2122.14,5221.56,57,2025-02-13,2025-06-16
I0107,Rosarito,Alimentos,Bebidas,Surtimax,487,42,252,Sobrestock,3453.89,7142.91,44,2025-04-14,2025-07-03
I0108,San Quintín,Alimentos,Bebidas,Distribuidora BC,293,32,192,Sobrestock,4019.85,3860.58,68,2025-02-24,2025-07-23
I0109,Tijuana,Alimentos,Lácteos,Importaciones Mex,136,80,480,Óptimo,1370.5,5311.97,39,2025-03-02,2025-07-05
I0110,Mexicali,Alimentos,Lácteos,Surtimax,31,31,186,En Tránsito,3448.35,6815.64,75,2025-04-21,2025-06-10
I0111,Ensenada,Alimentos,Lácteos,Comercial Baja,28,52,312,Bajo,2279.13,3938.79,55,2025-03-24,2025-07-01
I0112,Tecate,Alimentos,Lácteos,Proveedor Norte SA,160,51,306,En Tránsito,4218.36,6635.43,64,2025-02-12,2025-07-24
I0113,Rosarito,Alimentos,Lácteos,Importaciones Mex,389,53,318,Sobrestock,832.76,135.75,26,2025-04-15,2025-07-20
I0114,San Quintín,Alimentos,Lácteos,Importaciones Mex,168,76,456,Óptimo,2241.25,898.04,16,2025-03-26,2025-06-22
I0115,Tijuana,Alimentos,Carnes Frías,Mayoreo TJ,268,58,348,Óptimo,693.09,4602.43,56,2025-03-28,2025-06-11
I0116,Mexicali,Alimentos,Carnes Frías,Importaciones Mex,488,59,354,Sobrestock,1572.16,4307.51,60,2025-04-27,2025-07-18
I0117,Ensenada,Alimentos,Carnes Frías,Importaciones Mex,22,26,156,Bajo,536.24,5726.29,68,2025-03-30,2025-06-16
I0118,Tecate,Alimentos,Carnes Frías,Distribuidora BC,133,43,258,Óptimo,4593.33,7316.96,63,2025-02-17,2025-06-17
I0119,Rosarito,Alimentos,Carnes Frías,Surtimax,395,44,264,Sobrestock,698.23,6938.61,14,2025-05-03,2025-06-01
I0120,San Quintín,Alimentos,Carnes Frías,Abastos del Pacífico,206,53,318,Óptimo,2133.11,6937.28,55,2025-03-21,2025-07-23
I0121,Tijuana,Alimentos,Panadería,Proveedor Norte SA,187,54,324,Óptimo,1438.81,5112.51,74,2025-02-14,2025-06-07
I0122,Mexicali,Alimentos,Panadería,Logística Frontera,110,72,432,Óptimo,2928.01,3642.81,54,2025-03-14,2025-07-16
I0123,Ensenada,Alimentos,Panadería,Mayoreo TJ,212,51,306,Óptimo,4122.35,5639.97,38,2025-04-22,2025-07-27
I0124,Tecate,Alimentos,Panadería,Distribuidora BC,221,60,360,Óptimo,1627.87,3825.12,85,2025-02-21,2025-06-15
I0125,Rosarito,Alimentos,Panadería,Distribuidora BC,347,35,210,Sobrestock,3486.53,4991.74,31,2025-04-19,2025-07-18
I0126,San Quintín,Alimentos,Panadería,Proveedor Norte SA,269,78,468,Óptimo,869.04,6406.58,20,2025-04-18,2025-07-27
I0127,Tijuana,Alimentos,Conservas,Mayoreo TJ,221,51,306,En Tránsito,918.18,189.86,10,2025-05-13,2025-06-09
I0128,Mexicali,Alimentos,Conservas,Proveedor Norte SA,110,80,480,Óptimo,4073.11,5711.58,24,2025-03-28,2025-07-22
I0129,Ensenada,Alimentos,Conservas,Logística Frontera,265,68,408,En Tránsito,4101.17,2346.87,18,2025-04-08,2025-06-26
I0130,Tecate,Alimentos,Conservas,Logística Frontera,218,50,300,Óptimo,1502.98,1548.99,37,2025-03-18,2025-07-27
I0131,Rosarito,Alimentos,Conservas,Surtimax,58,80,480,Bajo,4762.59,2962.81,72,2025-05-12,2025-07-25
I0132,San Quintín,Alimentos,Conservas,Comercial Baja,276,36,216,Sobrestock,811.9,3685.54,51,2025-02-09,2025-07-03
I0133,Tijuana,Alimentos,Cereales,Mayoreo TJ,35,78,468,Bajo,4501.47,796.59,63,2025-02-18,2025-08-01
I0134,Mexicali,Alimentos,Cereales,Logística Frontera,46,44,264,En Tránsito,1380.29,1531.13,71,2025-02-28,2025-07-18
I0135,Ensenada,Alimentos,Cereales,Logística Frontera,109,80,480,Óptimo,2480.36,7229.86,39,2025-02-25,2025-07-17
I0136,Tecate,Alimentos,Cereales,Logística Frontera,495,40,240,Sobrestock,4956.45,3787.1,14,2025-02-25,2025-06-06
I0137,Rosarito,Alimentos,Cereales,Importaciones Mex,18,48,288,Bajo,4897.64,760.22,71,2025-02-09,2025-06-05
I0138,San Quintín,Alimentos,Cereales,Mayoreo TJ,194,70,420,En Tránsito,1371.71,2007.2,81,2025-04-21,2025-07-30
I0139,Tijuana,Alimentos,Condimentos,Abastos del Pacífico,326,48,288,Sobrestock,3476.6,7743.21,25,2025-02-20,2025-06-28
I0140,Mexicali,Alimentos,Condimentos,Comercial Baja,295,26,156,Sobrestock,3515.24,2763.97,73,2025-02-10,2025-07-16
I0141,Ensenada,Alimentos,Condimentos,Distribuidora BC,257,53,318,Óptimo,2931.35,5203.16,39,2025-04-10,2025-06-23
I0142,Tecate,Alimentos,Condimentos,Distribuidora BC,141,46,276,Óptimo,361.7,4260.19,0,2025-05-22,2025-06-29
I0143,Rosarito,Alimentos,Condimentos,Abastos del Pacífico,371,37,222,Sobrestock,2275.59,5635.29,54,2025-02-17,2025-07-24
I0144,San Quintín,Alimentos,Condimentos,Logística Frontera,308,33,198,Sobrestock,2467.34,4118.77,3,2025-05-12,2025-07-20
I0145,Tijuana,Hogar,Muebles,Comercial Baja,125,51,306,Óptimo,865.28,4522.8,4,2025-04-16,2025-06-16
I0146,Mexicali,Hogar,Muebles,Abastos del Pacífico,70,45,270,Óptimo,1263.38,425.39,36,2025-03-25,2025-07-06
I0147,Ensenada,Hogar,Muebles,Surtimax,313,52,312,Sobrestock,4951.19,4941.62,14,2025-04-05,2025-07-14
I0148,Tecate,Hogar,Muebles,Logística Frontera,498,30,180,Sobrestock,334.31,7869.49,9,2025-04-03,2025-07-16
I0149,Rosarito,Hogar,Muebles,Logística Frontera,185,21,126,Sobrestock,2972.56,1950.92,57,2025-04-15,2025-06-14
I0150,San Quintín,Hogar,Muebles,Mayoreo TJ,147,25,150,Sobrestock,4786.49,7539.54,3,2025-02-13,2025-07-16
I0151,Tijuana,Hogar,Lámparas,Comercial Baja,122,32,192,En Tránsito,2999.45,1133.17,68,2025-03-06,2025-06-21
I0152,Mexicali,Hogar,Lámparas,Mayoreo TJ,304,27,162,Sobrestock,4123.07,4047.6,15,2025-05-08,2025-06-10
I0153,Ensenada,Hogar,Lámparas,Comercial Baja,335,55,330,Sobrestock,1411.53,5242.58,5,2025-02-11,2025-08-02
I0154,Tecate,Hogar,Lámparas,Abastos del Pacífico,129,34,204,Óptimo,847.73,7222.47,80,2025-03-08,2025-06-27
I0155,Rosarito,Hogar,Lámparas,Comercial Baja,85,34,204,En Tránsito,1940.71,7659.72,80,2025-05-23,2025-06-27
I0156,San Quintín,Hogar,Lámparas,Mayoreo TJ,163,44,264,Óptimo,2976.34,2231.1,18,2025-03-12,2025-07-31
I0157,Tijuana,Hogar,Cobijas,Mayoreo TJ,88,74,444,Óptimo,4516.95,2335.28,61,2025-02-23,2025-08-03
I0158,Mexicali,Hogar,Cobijas,Importaciones Mex,442,35,210,Sobrestock,1119.86,5988.21,20,2025-04-25,2025-07-18
I0159,Ensenada,Hogar,Cobijas,Importaciones Mex,22,69,414,Bajo,925.71,1250.6,57,2025-03-18,2025-07-18
I0160,Tecate,Hogar,Cobijas,Surtimax,51,51,306,En Tránsito,2652.52,2483.32,34,2025-04-30,2025-06-09
I0161,Rosarito,Hogar,Cobijas,Importaciones Mex,419,49,294,Sobrestock,155.88,6513.19,64,2025-05-17,2025-06-10
I0162,San Quintín,Hogar,Cobijas,Distribuidora BC,374,70,420,Sobrestock,3600.09,4619.99,18,2025-03-12,2025-06-18
I0163,Tijuana,Hogar,Cojines,Mayoreo TJ,143,27,162,Sobrestock,3009.81,7850.52,45,2025-05-18,2025-08-02
I0164,Mexicali,Hogar,Cojines,Mayoreo TJ,189,30,180,Sobrestock,2578.38,4095.76,19,2025-02-07,2025-06-28
I0165,Ensenada,Hogar,Cojines,Logística Frontera,301,51,306,Sobrestock,3100.56,346.52,3,2025-05-20,2025-06-22
I0166,Tecate,Hogar,Cojines,Abastos del Pacífico,312,34,204,Sobrestock,2230.24,4296.81,10,2025-03-11,2025-07-14
I0167,Rosarito,Hogar,Cojines,Logística Frontera,175,37,222,En Tránsito,1442.04,5881.39,18,2025-05-15,2025-07-29
I0168,San Quintín,Hogar,Cojines,Comercial Baja,471,34,204,Sobrestock,759.73,4523.5,20,2025-05-16,2025-06-29
I0169,Tijuana,Hogar,Utensilios,Importaciones Mex,104,71,426,Óptimo,1037.95,5406.93,47,2025-05-03,2025-07-27
I0170,Mexicali,Hogar,Utensilios,Importaciones Mex,326,60,360,Sobrestock,2478.14,2761.78,29,2025-04-21,2025-06-25
I0171,Ensenada,Hogar,Utensilios,Distribuidora BC,500,77,462,Sobrestock,562.33,7273.84,49,2025-03-18,2025-06-27
I0172,Tecate,Hogar,Utensilios,Logística Frontera,58,29,174,Óptimo,1751.34,3086.96,78,2025-03-24,2025-07-26
I0173,Rosarito,Hogar,Utensilios,Comercial Baja,466,42,252,Sobrestock,203.56,3852.83,61,2025-02-15,2025-07-16
I0174,San Quintín,Hogar,Utensilios,Distribuidora BC,318,61,366,Sobrestock,3271.56,1831.43,29,2025-05-16,2025-06-28
I0175,Tijuana,Hogar,Decoración,Mayoreo TJ,118,43,258,Óptimo,3869.0,5248.0,47,2025-03-19,2025-06-02
I0176,Mexicali,Hogar,Decoración,Logística Frontera,62,33,198,Óptimo,592.82,6211.27,90,2025-05-08,2025-07-01
I0177,Ensenada,Hogar,Decoración,Distribuidora BC,373,36,216,Sobrestock,417.86,1910.13,24,2025-05-20,2025-06-17
I0178,Tecate,Hogar,Decoración,Mayoreo TJ,12,79,474,Bajo,687.52,719.19,58,2025-03-05,2025-06-22
I0179,Rosarito,Hogar,Decoración,Abastos del Pacífico,435,28,168,Sobrestock,3880.06,372.12,50,2025-04-13,2025-07-20
I0180,San Quintín,Hogar,Decoración,Abastos del Pacífico,322,75,450,En Tránsito,2123.37,65.82,61,2025-02-06,2025-07-22
I0181,Tijuana,Hogar,Almohadas,Abastos del Pacífico,413,38,228,Sobrestock,4017.93,7383.62,78,2025-04-10,2025-07-27
I0182,Mexicali,Hogar,Almohadas,Distribuidora BC,160,47,282,En Tránsito,2893.55,5022.39,42,2025-04-18,2025-06-10
I0183,Ensenada,Hogar,Almohadas,Logística Frontera,44,21,126,Óptimo,2921.81,1708.27,24,2025-03-16,2025-06-01
I0184,Tecate,Hogar,Almohadas,Importaciones Mex,417,56,336,Sobrestock,757.55,3579.55,24,2025-02-20,2025-07-19
I0185,Rosarito,Hogar,Almohadas,Abastos del Pacífico,310,38,228,Sobrestock,979.85,5516.79,16,2025-02-11,2025-06-10
I0186,San Quintín,Hogar,Almohadas,Proveedor Norte SA,432,35,210,Sobrestock,4242.14,6704.9,25,2025-03-01,2025-06-21
I0187,Tijuana,Hogar,Cortinas,Abastos del Pacífico,121,58,348,En Tránsito,4570.32,7731.91,9,2025-05-20,2025-06-12
I0188,Mexicali,Hogar,Cortinas,Abastos del Pacífico,338,55,330,Sobrestock,1919.41,7079.28,14,2025-02-13,2025-07-13
I0189,Ensenada,Hogar,Cortinas,Abastos del Pacífico,47,67,402,Bajo,1488.34,5631.29,85,2025-05-20,2025-07-02
I0190,Tecate,Hogar,Cortinas,Surtimax,473,46,276,Sobrestock,3037.17,1229.09,79,2025-03-29,2025-07-17
I0191,Rosarito,Hogar,Cortinas,Comercial Baja,474,79,474,Sobrestock,2820.43,3494.28,2,2025-02-10,2025-06-01
I0192,San Quintín,Hogar,Cortinas,Comercial Baja,1,38,228,Bajo,45.44,1547.37,53,2025-02-09,2025-06-01
I0193,Tijuana,Ferretería,Herramientas,Logística Frontera,423,53,318,Sobrestock,4298.37,5301.18,72,2025-02-14,2025-06-25
I0194,Mexicali,Ferretería,Herramientas,Comercial Baja,355,37,222,Sobrestock,1248.5,7055.34,2,2025-03-22,2025-06-27
I0195,Ensenada,Ferretería,Herramientas,Importaciones Mex,287,53,318,Sobrestock,531.19,1338.17,90,2025-02-05,2025-07-09
I0196,Tecate,Ferretería,Herramientas,Logística Frontera,447,76,456,Sobrestock,831.63,7025.08,18,2025-03-06,2025-07-23
I0197,Rosarito,Ferretería,Herramientas,Distribuidora BC,63,47,282,Óptimo,133.68,7757.3,62,2025-02-22,2025-06-26
I0198,San Quintín,Ferretería,Herramientas,Mayoreo TJ,364,54,324,Sobrestock,370.8,6778.9,81,2025-02-16,2025-06-05
I0199,Tijuana,Ferretería,Pinturas,Proveedor Norte SA,49,43,258,Óptimo,4576.45,7782.36,76,2025-04-07,2025-07-08
I0200,Mexicali,Ferretería,Pinturas,Proveedor Norte SA,288,50,300,Sobrestock,1429.09,5412.32,19,2025-05-04,2025-06-04
I0201,Ensenada,Ferretería,Pinturas,Comercial Baja,297,48,288,Sobrestock,4172.36,3278.67,54,2025-04-30,2025-06-30
I0202,Tecate,Ferretería,Pinturas,Logística Frontera,52,22,132,Óptimo,1690.35,669.18,90,2025-04-25,2025-07-05
